id_gracza	imie	nazwisko	wiek
1	Jozef	Gorecki	29
2	Przemyslaw	Mazurek	68
3	Cezary	Kaczmarczyk	41
4	Kornel	Wysocki	72
5	Eustachy	Gorecki	74
6	Gniewomir	Krupa	56
7	Bartlomiej	Mroz	54
8	Joachim	Kowalczyk	67
9	Jakub	Glowacki	20
10	Arkadiusz	Nowak	61
11	Klaudiusz	Mroz	38
12	Mariusz	Lis	67
13	Amadeusz	Czerwinski	26
14	Dobromil	Wlodarczyk	43
15	Leonardo	Piotrowski	25
16	Milan	Maciejewski	20
17	Przemyslaw	Krupa	26
18	Pawel	Pietrzak	45
19	Natan	Lewandowski	49
20	Kuba	Jaworski	58
21	Natan	Sadowski	22
22	Alex	Jakubowski	79
23	Leonardo	Jasinski	22
24	Hubert	Michalak	76
25	Denis	Lis	61
26	Radoslaw	Zalewski	59
27	Ksawery	Urbanski	22
28	Norbert	Krawczyk	44
29	Dawid	Mroz	71
30	Krzysztof	Pawlak	25
31	Korneliusz	Szczepanski	82
32	Eugeniusz	Adamski	83
33	Milan	Piotrowski	88
34	Kryspin	Dabrowski	85
35	Miron	Ziolkowski	58
36	Grzegorz	Mazur	78
37	Maciej	Pawlak	68
38	Mikolaj	Czerwinski	91
39	Arkadiusz	Kowalski	90
40	Lucjan	Kazmierczak	81
41	Norbert	Walczak	33
42	Eugeniusz	Sokolowski	88
43	Alexander	Gorski	75
44	Konrad	Wroblewski	21
45	Maurycy	Sikorski	34
46	Dobromil	Sadowski	18
47	Konrad	Borkowski	50
48	Kacper	Wisniewski	58
49	Marian	Kolodziej	61
50	Adam	Chmielewski	56
51	Oktawian	Kaminski	85
52	Michal	Sawicki	54
53	Arkadiusz	Mroz	49
54	Maksymilian	Maciejewski	40
55	Oskar	Michalak	86
56	Albert	Wysocki	81
57	Olaf	Kubiak	51
58	Amadeusz	Nowak	14
59	Allan	Szymczak	78
60	Kryspin	Kowalczyk	42
61	Julian	Kaczmarczyk	68
62	Pawel	Zalewski	74
63	Robert	Lewandowski	88
64	Janusz	Makowski	15
65	Bartlomiej	Wisniewski	57
